Target_Protein,StringID_Target,Interactor,StringID_Interactor,String_Score,escore,dscore,tscore,PDB_ID,Experiment_Type,Resolution
BARD1,9606.ENSP00000260947,UIMC1,9606.ENSP00000421926,0.999,0.477,0.9,0.996,NA,NA,NA
BARD1,9606.ENSP00000260947,RAD51,9606.ENSP00000493712,0.999,0.758,0.72,0.993,NA,NA,NA
BARD1,9606.ENSP00000260947,RBBP8,9606.ENSP00000382628,0.999,0.994,0.7,0.917,NA,NA,NA
BARD1,9606.ENSP00000260947,BRCA2,9606.ENSP00000369497,0.999,0.793,0.72,0.995,NA,NA,NA
BARD1,9606.ENSP00000260947,MRE11,9606.ENSP00000325863,0.999,0.994,0.54,0.753,NA,NA,NA
BARD1,9606.ENSP00000260947,ABRAXAS1,9606.ENSP00000369857,0.999,0.994,0.9,0.993,NA,NA,NA
BARD1,9606.ENSP00000260947,BRCA1,9606.ENSP00000418960,0.999,0.999,0.9,0.993,"7LYB, 8GRQ, 7JZV, 1JM7","Electron Microscopy, Electron Microscopy, Electron Microscopy, Solution NMR","3.28, 3.87, 3.9, NA"
BARD1,9606.ENSP00000260947,BABAM2,9606.ENSP00000343412,0.999,0.334,0.9,0.995,NA,NA,NA
BARD1,9606.ENSP00000260947,BRIP1,9606.ENSP00000259008,0.999,0.994,0.54,0.753,NA,NA,NA
BARD1,9606.ENSP00000260947,BRCC3,9606.ENSP00000358474,0.999,0.647,0.9,0.994,NA,NA,NA
BARD1,9606.ENSP00000260947,TOPBP1,9606.ENSP00000260810,0.998,0.994,0.54,0.522,NA,NA,NA
BARD1,9606.ENSP00000260947,NBN,9606.ENSP00000265433,0.998,0.994,0.54,0.599,NA,NA,NA
BARD1,9606.ENSP00000260947,BABAM1,9606.ENSP00000352408,0.998,0.063,0.9,0.986,NA,NA,NA
BARD1,9606.ENSP00000260947,CSTF1,9606.ENSP00000217109,0.997,0.833,0.0,0.986,NA,NA,NA
BARD1,9606.ENSP00000260947,RAD50,9606.ENSP00000368100,0.997,0.994,0.54,0.323,NA,NA,NA
BARD1,9606.ENSP00000260947,BAP1,9606.ENSP00000417132,0.994,0.07,0.9,0.948,NA,NA,NA
BARD1,9606.ENSP00000260947,PALB2,9606.ENSP00000261584,0.987,0.291,0.5,0.966,NA,NA,NA
BARD1,9606.ENSP00000260947,UBE2D3,9606.ENSP00000349722,0.983,0.882,0.0,0.859,"7LYB, 8GRQ, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.87, 3.9"
BARD1,9606.ENSP00000260947,TP53,9606.ENSP00000269305,0.982,0.745,0.5,0.875,NA,NA,NA
BARD1,9606.ENSP00000260947,H2AC8,9606.ENSP00000303373,0.981,0.962,0.5,0.087,"7LYB, 7LYC","Electron Microscopy, Electron Microscopy","3.28, 2.94"
BARD1,9606.ENSP00000260947,H4C6,9606.ENSP00000244537,0.981,0.93,0.5,0.519,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,RNF2,9606.ENSP00000356480,0.98,0.042,0.9,0.814,NA,NA,NA
BARD1,9606.ENSP00000260947,H2BC21,9606.ENSP00000358151,0.978,0.942,0.5,0.294,NA,NA,NA
BARD1,9606.ENSP00000260947,UBC,9606.ENSP00000441543,0.97,0.93,0.5,0.205,8OFF,Electron Microscopy,3.4
BARD1,9606.ENSP00000260947,RAD51C,9606.ENSP00000336701,0.967,0.045,0.5,0.93,NA,NA,NA
BARD1,9606.ENSP00000260947,UBE2S,9606.ENSP00000264552,0.961,0.108,0.9,0.598,NA,NA,NA
BARD1,9606.ENSP00000260947,OLA1,9606.ENSP00000284719,0.958,0.523,0.0,0.913,NA,NA,NA
BARD1,9606.ENSP00000260947,H2BC11,9606.ENSP00000476136,0.956,0.905,0.5,0.121,"7LYB, 7LYC","Electron Microscopy, Electron Microscopy","3.28, 2.94"
